cellLine	IC50	breastCancerSubtype	ERStatus	HER2Status
MDA-MB-175	4	Luminal	Positive	Normal
ZR-75-30	5	Luminal	Positive	Amplified
CAMA-1	8	Luminal	Positive	Normal
MDA-MB-134	13	Luminal	Positive	Normal
HCC-202	21	Luminal	Positive	Amplified
UACC-893	24	Luminal	Positive	Amplified
EFM-19	27	Luminal	Positive	Normal
SUM-190	28	Luminal	Positive	Amplified
EFM-192A	42	Luminal	Positive	Amplified
MDA-MB-361	44	Luminal	Positive	Amplified
HCC-1500	45	Luminal	Positive	Normal
HCC-1419	51	Luminal	Positive	Amplified
HCC-38	64	Basal	Negative	Normal
MDA-MB-415	64	Luminal	Positive	Normal
MCF-10A	92	n/a	Negative	Immortalized
UACC-812	96	Luminal	Positive	Amplified
HCC-2218	100	Luminal	Positive	Amplified
ZR-75-1	110	Luminal	Positive	Normal
MDA-MB-453	115	Luminal	Negative	Amplified
184A1	118	n/a	Negative	Immortalized
T47-D	127	Luminal	Positive	Normal
MCF-7	148	Luminal	Positive	Normal
BT-20	177	Basal	Negative	Normal
MDA-MB-435	201	Post-EMT	Negative	Normal
BT-474	240	Luminal	Positive	Amplified
SK-BR-3	300	Luminal	Negative	Amplified
KPL-1	327	Luminal	Positive	Normal
HCC-1143	359	Basal	Negative	Normal
MDA-MB-231	432	Post-EMT	Negative	Normal
HCC-1395	472	Post-EMT	Negative	Normal
SUM-225	503	Luminal	Negative	Amplified
Hs578t	524	Post-EMT	Negative	Normal
184B5	538	n/a	Negative	Immortalized
UACC-732	744	Luminal	Positive	Amplified
CAL-51	905	Post-EMT	Negative	Normal
BT-549	1000	Post-EMT	Negative	Normal
COLO-824	1000	Basal	Negative	Normal
DU4475	1000	Basal	Negative	Normal
HCC-1187	1000	Basal	Negative	Normal
HCC-1569	1000	Post-EMT	Negative	Amplified
HCC-1806	1000	Basal	Negative	Normal
HCC-1937	1000	Post-EMT	Negative	Normal
HCC-1954	1000	Basal	Negative	Amplified
HCC-70	1000	Basal	Negative	Normal
MDA-MB-436	1000	Post-EMT	Negative	Normal
MDA-MB-157	1000	Post-EMT	Negative	Normal
MDA-MB-468	1000	Basal	Negative	Normal
