cor,lincs_cell_id
0.189117176,NCIH1694
0.202697258,SHSY5Y
0.233084454,NCIH1836
0.242915249,JURKAT
0.281991832,WSUDLCL2
0.323513992,HL60
0.324831165,PL21
0.325426886,MDST8
0.326897689,H1299
0.327242735,RKO
0.327655194,U2OS
0.331839598,A673
0.337958829,SKMEL1
0.339407246,NCIH716
0.342158547,VCAP
0.343998709,THP1
0.345697556,SKMEL28
0.347683725,JHUEM2
0.352534152,TYKNU
0.353170079,U937
0.354110771,SKM1
0.359377736,NOMO1
0.360408767,HEC108
0.360497823,SNUC5
0.362602218,COV644
0.365356966,HCT116
0.369380124,SKLU1
0.374404191,HS578T
0.375815693,OV7
0.378922497,A375
0.381884672,SW480
0.385017775,CORL23
0.385088089,SW620
0.39020457,SNGM
0.392754674,AGS
0.393405399,PC3
0.39467735,RMUGS
0.39512161,LOVO
0.395804286,BT20
0.395861305,NCIH596
0.397230844,MCF7
0.405698424,DV90
0.407519453,MDAMB231
0.413734001,NCIH508
0.413938749,A549
0.414191534,HT115
0.415415425,RMGI
0.417403979,SW948
0.419419432,SNUC4
0.423355102,CL34
0.42399091,HCC15
0.425666137,SKBR3
0.426127412,T3M10
0.431100615,EFO27
0.434305875,SNU1040
0.443851225,HT29
0.490953837,HUH7
0.559784085,HEPG2
